ticket_id,customer_id,product_purchased,ticket_status,ticket_priority,plan_type,customer_satisfaction_rating,sessions_baseline,sessions_recent,sessions_change,decline20
72,CUST00990,Trello,Open,Medium,Enterprise,,12.0,12.0,0.0,False
73,CUST02151,Loom,Closed,Low,Standard,4.0,15.0,14.5,-0.033333333333333326,False
74,CUST02277,Confluence,Closed,Critical,Free,3.0,14.0,14.5,0.03571428571428581,False
75,CUST01922,Jira,Open,Critical,Standard,,16.0,12.0,-0.25,True
76,CUST01422,Loom,Closed,Critical,Premium,1.0,16.5,15.0,-0.09090909090909094,False
77,CUST00888,Trello,Open,Critical,Premium,,17.0,18.0,0.05882352941176472,False
78,CUST05494,Confluence,Closed,Low,Free,5.0,10.5,12.5,0.19047619047619047,False
79,CUST07649,Loom,Pending Customer Response,Medium,Standard,,15.5,14.0,-0.09677419354838712,False
80,CUST02885,Confluence,Pending Customer Response,Critical,Standard,,12.5,8.5,-0.31999999999999995,True
81,CUST01773,Loom,Pending Customer Response,Critical,Standard,,11.0,12.0,0.09090909090909083,False
82,CUST02587,Jira,Pending Customer Response,Medium,Enterprise,,27.5,34.0,0.23636363636363633,False
83,CUST04187,Jira,Closed,Low,Standard,1.0,12.5,14.5,0.15999999999999992,False
84,CUST01976,Bitbucket,Pending Customer Response,Critical,Standard,,19.0,19.0,0.0,False
85,CUST04000,Jira,Open,Medium,Premium,,49.0,59.0,0.20408163265306123,False
86,CUST01494,Trello,Open,High,Premium,,12.0,11.5,-0.04166666666666663,False
87,CUST04169,Loom,Closed,Critical,Premium,2.0,9.5,10.0,0.05263157894736836,False
88,CUST07624,Confluence,Pending Customer Response,High,Standard,,21.0,23.5,0.11904761904761907,False
89,CUST01201,Bitbucket,Open,Critical,Premium,,21.0,20.5,-0.023809523809523836,False
90,CUST02872,Bitbucket,Closed,Medium,Standard,5.0,6.5,14.5,1.2307692307692308,False
91,CUST03178,Bitbucket,Pending Customer Response,High,Standard,,37.0,42.0,0.1351351351351351,False
92,CUST07488,Trello,Pending Customer Response,Low,Enterprise,,12.5,10.0,-0.19999999999999996,False
93,CUST05805,Jira,Pending Customer Response,Low,Premium,,15.0,19.0,0.2666666666666666,False
94,CUST05042,Jira,Open,Low,Premium,,15.5,20.0,0.29032258064516125,False
95,CUST01683,Jira,Open,Critical,Premium,,18.5,23.5,0.2702702702702702,False
96,CUST01734,Bitbucket,Closed,High,Standard,5.0,8.5,7.5,-0.11764705882352944,False
97,CUST07602,Loom,Open,High,Standard,,9.0,10.0,0.11111111111111116,False
98,CUST01809,Jira,Pending Customer Response,High,Premium,,22.5,26.5,0.1777777777777778,False
99,CUST06815,Confluence,Closed,High,Standard,5.0,5.5,4.5,-0.18181818181818177,False
100,CUST04726,Confluence,Pending Customer Response,Low,Premium,,26.5,29.5,0.1132075471698113,False
101,CUST05764,Loom,Pending Customer Response,High,Standard,,29.0,19.5,-0.3275862068965517,True
102,CUST00279,Trello,Pending Customer Response,Critical,Enterprise,,46.0,45.0,-0.021739130434782594,False
103,CUST03155,Trello,Closed,Critical,Standard,3.0,10.5,12.0,0.1428571428571428,False
104,CUST03276,Loom,Open,High,Premium,,10.0,6.5,-0.35,True
105,CUST04661,Confluence,Open,High,Premium,,20.0,21.5,0.07499999999999996,False
106,CUST04516,Loom,Pending Customer Response,Critical,Premium,,14.0,12.0,-0.1428571428571429,False
107,CUST01601,Bitbucket,Closed,Low,Premium,2.0,6.5,10.0,0.5384615384615385,False
108,CUST01954,Confluence,Pending Customer Response,High,Standard,,24.0,22.0,-0.08333333333333337,False
109,CUST05324,Loom,Closed,Critical,Standard,4.0,10.5,7.5,-0.2857142857142857,True
110,CUST04198,Loom,Open,High,Enterprise,,17.5,14.5,-0.17142857142857137,False
111,CUST00950,Bitbucket,Closed,High,Standard,2.0,20.5,20.0,-0.024390243902439046,False
112,CUST04822,Confluence,Open,High,Standard,,16.0,11.0,-0.3125,True
113,CUST01209,Confluence,Open,Medium,Standard,,18.5,15.0,-0.18918918918918914,False
114,CUST01156,Loom,Closed,High,Standard,1.0,9.0,7.5,-0.16666666666666663,False
115,CUST01854,Confluence,Closed,High,Standard,1.0,22.5,22.5,0.0,False
116,CUST08057,Trello,Open,Critical,Premium,,18.0,15.0,-0.16666666666666663,False
117,CUST02016,Trello,Closed,High,Standard,5.0,9.5,11.5,0.21052631578947367,False
118,CUST04794,Bitbucket,Closed,Medium,Premium,5.0,9.5,9.0,-0.052631578947368474,False
119,CUST00249,Loom,Open,High,Enterprise,,8.0,8.0,0.0,False
120,CUST03960,Confluence,Closed,Low,Premium,2.0,18.0,17.0,-0.05555555555555558,False
121,CUST08218,Bitbucket,Pending Customer Response,Medium,Premium,,16.5,11.5,-0.303030303030303,True
122,CUST04144,Loom,Open,Critical,Premium,,14.0,17.0,0.2142857142857142,False
123,CUST01867,Trello,Open,Low,Free,,17.0,17.0,0.0,False
124,CUST07013,Confluence,Pending Customer Response,Low,Premium,,31.0,32.5,0.048387096774193505,False
125,CUST02545,Loom,Pending Customer Response,High,Premium,,12.0,10.0,-0.16666666666666663,False
126,CUST01573,Confluence,Open,Medium,Standard,,10.0,10.0,0.0,False
127,CUST07763,Jira,Open,Low,Premium,,12.0,17.5,0.45833333333333326,False
128,CUST00023,Jira,Pending Customer Response,Low,Premium,,12.5,11.0,-0.12,False
129,CUST03295,Trello,Closed,Medium,Standard,3.0,9.5,8.5,-0.10526315789473684,False
130,CUST00329,Bitbucket,Pending Customer Response,Low,Standard,,7.0,9.5,0.3571428571428572,False
131,CUST03297,Trello,Closed,Medium,Premium,2.0,35.5,33.5,-0.05633802816901412,False
132,CUST06978,Confluence,Pending Customer Response,Critical,Free,,3.0,6.0,1.0,False
133,CUST07120,Jira,Open,Medium,Free,,21.0,22.5,0.0714285714285714,False
134,CUST05473,Bitbucket,Closed,Critical,Standard,5.0,9.5,11.0,0.1578947368421053,False
135,CUST07397,Jira,Closed,Critical,Standard,2.0,21.5,20.0,-0.06976744186046513,False
136,CUST05327,Confluence,Pending Customer Response,Low,Premium,,6.5,11.0,0.6923076923076923,False
137,CUST00098,Loom,Open,Critical,Premium,,20.5,20.5,0.0,False
138,CUST03882,Bitbucket,Closed,Low,Premium,4.0,21.0,24.0,0.1428571428571428,False
139,CUST00336,Trello,Closed,Critical,Premium,2.0,24.5,26.0,0.061224489795918435,False
140,CUST00671,Loom,Pending Customer Response,Low,Premium,,3.0,4.0,0.33333333333333326,False
141,CUST03209,Confluence,Closed,Critical,Premium,1.0,8.5,9.0,0.05882352941176472,False
142,CUST07441,Loom,Closed,High,Free,2.0,8.5,8.5,0.0,False
143,CUST06900,Loom,Pending Customer Response,High,Enterprise,,6.0,8.5,0.41666666666666674,False
144,CUST01488,Trello,Open,Critical,Premium,,28.0,28.0,0.0,False
145,CUST05068,Trello,Open,Low,Premium,,25.0,27.5,0.10000000000000009,False
146,CUST04705,Confluence,Pending Customer Response,Medium,Premium,,8.0,8.0,0.0,False
147,CUST03268,Jira,Open,Low,Free,,19.5,16.0,-0.17948717948717952,False
148,CUST05968,Jira,Closed,Low,Standard,3.0,20.5,18.5,-0.09756097560975607,False
149,CUST06051,Confluence,Closed,High,Standard,1.0,18.0,24.0,0.33333333333333326,False
150,CUST07306,Confluence,Closed,Critical,Premium,3.0,23.0,21.5,-0.06521739130434778,False
151,CUST00580,Loom,Closed,Critical,Standard,4.0,16.0,12.5,-0.21875,True
152,CUST02455,Jira,Pending Customer Response,Medium,Standard,,34.0,32.5,-0.044117647058823484,False
153,CUST00927,Jira,Pending Customer Response,Low,Premium,,29.0,22.5,-0.22413793103448276,True
154,CUST05367,Bitbucket,Pending Customer Response,Medium,Premium,,20.0,20.5,0.02499999999999991,False
155,CUST01965,Loom,Open,Medium,Premium,,9.0,7.0,-0.2222222222222222,True
156,CUST04924,Loom,Open,Low,Free,,8.5,6.5,-0.23529411764705888,True
157,CUST06440,Trello,Open,Low,Premium,,24.0,24.5,0.02083333333333326,False
158,CUST06778,Bitbucket,Open,Medium,Premium,,17.0,19.5,0.1470588235294117,False
159,CUST07932,Loom,Pending Customer Response,Low,Enterprise,,14.5,13.0,-0.10344827586206895,False
160,CUST06364,Bitbucket,Pending Customer Response,High,Free,,5.5,6.5,0.18181818181818188,False
161,CUST05082,Jira,Pending Customer Response,High,Standard,,16.0,17.5,0.09375,False
162,CUST02148,Loom,Closed,High,Premium,3.0,25.0,26.5,0.06000000000000005,False
163,CUST00349,Loom,Closed,Critical,Standard,1.0,6.0,4.0,-0.33333333333333337,True
164,CUST03111,Loom,Closed,Medium,Enterprise,3.0,25.0,25.5,0.020000000000000018,False
165,CUST00528,Loom,Closed,Low,Enterprise,5.0,20.5,17.5,-0.14634146341463417,False
166,CUST05021,Jira,Pending Customer Response,Low,Premium,,26.0,28.5,0.09615384615384626,False
167,CUST06466,Jira,Closed,Medium,Enterprise,3.0,35.5,36.0,0.014084507042253502,False
168,CUST02076,Jira,Closed,Medium,Enterprise,3.0,23.0,24.0,0.04347826086956519,False
169,CUST01593,Jira,Open,High,Free,,13.5,13.5,0.0,False
170,CUST07387,Bitbucket,Closed,Medium,Free,1.0,7.5,9.0,0.19999999999999996,False
171,CUST00762,Loom,Closed,Low,Standard,4.0,13.0,6.0,-0.5384615384615384,True
172,CUST01354,Loom,Open,Low,Premium,,9.0,12.0,0.33333333333333326,False
173,CUST05818,Trello,Pending Customer Response,Medium,Standard,,8.0,13.5,0.6875,False
174,CUST02346,Jira,Pending Customer Response,Medium,Standard,,8.5,12.5,0.47058823529411775,False
175,CUST00411,Confluence,Pending Customer Response,Critical,Premium,,32.0,33.0,0.03125,False
176,CUST06622,Jira,Closed,Medium,Free,4.0,9.0,9.0,0.0,False
177,CUST08220,Confluence,Pending Customer Response,Medium,Premium,,13.5,12.0,-0.11111111111111116,False
178,CUST04850,Loom,Pending Customer Response,High,Standard,,21.0,21.5,0.023809523809523725,False
179,CUST05069,Trello,Open,Medium,Standard,,22.5,24.0,0.06666666666666665,False
180,CUST05618,Loom,Pending Customer Response,Critical,Premium,,20.5,20.5,0.0,False
181,CUST03650,Confluence,Pending Customer Response,Medium,Enterprise,,19.0,20.0,0.05263157894736836,False
182,CUST01993,Bitbucket,Pending Customer Response,Critical,Standard,,7.0,7.5,0.0714285714285714,False
183,CUST05134,Confluence,Closed,High,Standard,4.0,11.5,11.0,-0.04347826086956519,False
184,CUST06092,Loom,Closed,Medium,Enterprise,4.0,3.5,6.5,0.8571428571428572,False
185,CUST08306,Loom,Pending Customer Response,High,Standard,,4.5,3.5,-0.2222222222222222,True
186,CUST03229,Confluence,Open,Low,Premium,,12.5,10.0,-0.19999999999999996,False
187,CUST04298,Trello,Pending Customer Response,Medium,Premium,,25.5,19.5,-0.23529411764705888,True
188,CUST06897,Jira,Pending Customer Response,Low,Standard,,14.5,12.0,-0.1724137931034483,False
189,CUST01345,Loom,Closed,High,Enterprise,1.0,18.5,15.5,-0.16216216216216217,False
190,CUST01389,Confluence,Open,Critical,Enterprise,,25.5,20.0,-0.21568627450980393,True
191,CUST06889,Trello,Pending Customer Response,Critical,Premium,,21.5,29.5,0.37209302325581395,False
192,CUST05888,Confluence,Pending Customer Response,Low,Enterprise,,27.0,30.5,0.12962962962962954,False
193,CUST05101,Jira,Closed,Medium,Standard,1.0,26.5,24.0,-0.09433962264150941,False
194,CUST00169,Jira,Pending Customer Response,Critical,Premium,,23.5,15.5,-0.34042553191489366,True
195,CUST06096,Confluence,Closed,Medium,Standard,2.0,13.5,13.5,0.0,False
196,CUST06025,Trello,Open,High,Enterprise,,37.0,41.5,0.12162162162162171,False
197,CUST06957,Loom,Pending Customer Response,Low,Standard,,37.5,37.5,0.0,False
198,CUST07682,Confluence,Closed,High,Enterprise,3.0,24.5,24.5,0.0,False
199,CUST01361,Bitbucket,Closed,Critical,Standard,5.0,12.5,14.0,0.1200000000000001,False
200,CUST02814,Trello,Closed,Medium,Standard,5.0,8.5,14.0,0.6470588235294117,False
201,CUST02960,Trello,Open,Critical,Standard,,21.0,16.5,-0.2142857142857143,True
202,CUST01376,Jira,Open,Medium,Free,,9.0,7.5,-0.16666666666666663,False
203,CUST02570,Jira,Open,Medium,Free,,4.5,4.0,-0.11111111111111116,False
204,CUST03327,Loom,Pending Customer Response,Low,Free,,7.0,8.0,0.1428571428571428,False
205,CUST02198,Bitbucket,Closed,High,Standard,3.0,25.5,26.0,0.019607843137254832,False
206,CUST03366,Bitbucket,Closed,Medium,Premium,1.0,18.0,13.0,-0.2777777777777778,True
207,CUST04064,Loom,Open,High,Free,,10.0,12.0,0.19999999999999996,False
208,CUST06490,Trello,Pending Customer Response,Critical,Enterprise,,17.5,18.5,0.05714285714285716,False
209,CUST06128,Trello,Open,High,Free,,19.0,22.5,0.18421052631578938,False
210,CUST01114,Confluence,Closed,Low,Enterprise,1.0,18.5,13.5,-0.2702702702702703,True
211,CUST05229,Confluence,Pending Customer Response,Low,Premium,,10.5,15.5,0.4761904761904763,False
212,CUST03683,Confluence,Pending Customer Response,Low,Enterprise,,22.0,24.5,0.11363636363636354,False
213,CUST00530,Bitbucket,Open,Medium,Standard,,20.0,21.5,0.07499999999999996,False
214,CUST04765,Jira,Open,High,Free,,10.0,6.5,-0.35,True
215,CUST00089,Trello,Open,Low,Premium,,18.0,22.5,0.25,False
216,CUST06175,Confluence,Open,Critical,Free,,5.0,8.5,0.7,False
217,CUST07753,Confluence,Pending Customer Response,High,Premium,,19.0,19.0,0.0,False
218,CUST05199,Bitbucket,Open,Low,Standard,,30.0,33.0,0.10000000000000009,False
219,CUST08250,Confluence,Pending Customer Response,Critical,Standard,,14.0,12.0,-0.1428571428571429,False
220,CUST07328,Trello,Closed,Critical,Standard,2.0,27.5,30.0,0.09090909090909083,False
221,CUST03850,Bitbucket,Closed,Medium,Standard,5.0,18.5,18.5,0.0,False
222,CUST07781,Loom,Pending Customer Response,Critical,Premium,,5.5,6.5,0.18181818181818188,False
223,CUST08149,Confluence,Pending Customer Response,Critical,Enterprise,,23.5,25.0,0.06382978723404253,False
224,CUST03419,Jira,Pending Customer Response,Low,Standard,,30.0,31.5,0.050000000000000044,False
225,CUST02084,Jira,Open,Medium,Standard,,7.5,12.0,0.6000000000000001,False
226,CUST00380,Jira,Closed,High,Standard,4.0,35.0,32.5,-0.0714285714285714,False
227,CUST07605,Jira,Closed,High,Premium,4.0,17.0,19.5,0.1470588235294117,False
228,CUST03892,Loom,Pending Customer Response,Low,Premium,,19.5,14.5,-0.2564102564102564,True
229,CUST06301,Loom,Open,Low,Free,,11.0,10.0,-0.09090909090909094,False
230,CUST06918,Jira,Closed,Critical,Premium,2.0,8.5,9.0,0.05882352941176472,False
231,CUST00827,Loom,Pending Customer Response,Low,Free,,12.5,5.5,-0.56,True
232,CUST01898,Trello,Pending Customer Response,High,Standard,,7.0,8.0,0.1428571428571428,False
233,CUST06707,Loom,Open,High,Free,,11.5,12.0,0.04347826086956519,False
234,CUST00303,Loom,Pending Customer Response,High,Enterprise,,15.0,9.5,-0.3666666666666667,True
235,CUST03581,Loom,Open,Critical,Standard,,11.5,11.0,-0.04347826086956519,False
236,CUST07908,Trello,Pending Customer Response,Critical,Premium,,15.5,16.0,0.032258064516129004,False
237,CUST06375,Trello,Closed,Critical,Standard,3.0,19.5,18.5,-0.05128205128205132,False
238,CUST04610,Bitbucket,Closed,High,Free,4.0,17.0,17.0,0.0,False
239,CUST01884,Confluence,Pending Customer Response,Critical,Premium,,25.5,27.0,0.05882352941176472,False
240,CUST03723,Trello,Open,Low,Standard,,13.0,18.5,0.42307692307692313,False
241,CUST03088,Confluence,Closed,Low,Premium,5.0,11.5,17.0,0.4782608695652173,False
242,CUST07351,Trello,Closed,Low,Standard,2.0,36.5,34.5,-0.0547945205479452,False
243,CUST01556,Confluence,Open,Critical,Standard,,7.5,10.0,0.33333333333333326,False
244,CUST05486,Confluence,Pending Customer Response,Critical,Enterprise,,39.0,31.0,-0.20512820512820518,True
245,CUST06015,Loom,Pending Customer Response,Medium,Premium,,7.5,5.5,-0.2666666666666667,True
246,CUST02167,Trello,Pending Customer Response,Medium,Premium,,15.0,14.5,-0.033333333333333326,False
247,CUST04873,Jira,Pending Customer Response,Medium,Premium,,52.0,49.5,-0.04807692307692313,False
248,CUST01333,Jira,Open,Medium,Standard,,11.0,15.0,0.36363636363636354,False
249,CUST06818,Bitbucket,Pending Customer Response,Critical,Standard,,16.0,13.0,-0.1875,False
250,CUST01127,Loom,Closed,High,Standard,3.0,9.5,7.0,-0.26315789473684215,True
251,CUST01322,Loom,Closed,Critical,Free,2.0,13.5,7.0,-0.4814814814814815,True
252,CUST06476,Jira,Pending Customer Response,Critical,Premium,,19.0,17.5,-0.07894736842105265,False
253,CUST02444,Bitbucket,Pending Customer Response,High,Standard,,21.5,23.5,0.09302325581395343,False
254,CUST01754,Confluence,Pending Customer Response,High,Free,,11.0,11.0,0.0,False
255,CUST06045,Loom,Pending Customer Response,Low,Free,,11.0,3.0,-0.7272727272727273,True
256,CUST08238,Bitbucket,Open,High,Standard,,13.5,9.5,-0.2962962962962963,True
257,CUST02263,Bitbucket,Pending Customer Response,High,Premium,,34.5,32.5,-0.05797101449275366,False
258,CUST05717,Confluence,Open,High,Standard,,22.5,24.0,0.06666666666666665,False
259,CUST07756,Bitbucket,Open,High,Enterprise,,23.0,21.5,-0.06521739130434778,False
260,CUST04654,Jira,Closed,Low,Enterprise,5.0,17.0,16.0,-0.05882352941176472,False
261,CUST05767,Bitbucket,Pending Customer Response,High,Free,,5.0,5.5,0.10000000000000009,False
262,CUST06324,Trello,Open,Critical,Premium,,21.5,27.0,0.2558139534883721,False
263,CUST04250,Jira,Closed,Medium,Standard,2.0,14.5,16.5,0.13793103448275867,False
264,CUST08173,Jira,Open,Medium,Enterprise,,17.0,18.5,0.08823529411764697,False
265,CUST07589,Bitbucket,Closed,Critical,Premium,3.0,24.5,24.0,-0.020408163265306145,False
266,CUST06526,Loom,Closed,Medium,Standard,2.0,5.0,6.5,0.30000000000000004,False
267,CUST02932,Bitbucket,Open,High,Enterprise,,36.0,44.0,0.22222222222222232,False
268,CUST05431,Bitbucket,Open,Low,Enterprise,,16.0,16.5,0.03125,False
269,CUST08203,Jira,Pending Customer Response,Medium,Standard,,19.0,19.0,0.0,False
270,CUST01429,Confluence,Closed,High,Enterprise,3.0,32.5,29.5,-0.09230769230769231,False
271,CUST08026,Jira,Closed,Critical,Enterprise,1.0,35.0,33.5,-0.042857142857142816,False
272,CUST06517,Bitbucket,Open,Critical,Standard,,15.5,9.0,-0.4193548387096774,True
273,CUST05339,Loom,Pending Customer Response,Critical,Standard,,4.5,6.5,0.4444444444444444,False
274,CUST01589,Confluence,Open,High,Free,,10.0,9.5,-0.050000000000000044,False
275,CUST05587,Confluence,Open,Medium,Standard,,12.5,12.0,-0.040000000000000036,False
276,CUST03991,Loom,Open,Low,Premium,,10.5,14.5,0.38095238095238093,False
277,CUST07243,Jira,Open,Medium,Standard,,12.0,16.0,0.33333333333333326,False
278,CUST07293,Bitbucket,Closed,Medium,Enterprise,4.0,13.0,12.5,-0.038461538461538436,False
279,CUST05626,Jira,Closed,Low,Free,5.0,12.5,10.5,-0.16000000000000003,False
280,CUST03381,Jira,Pending Customer Response,High,Standard,,15.0,13.0,-0.1333333333333333,False
281,CUST00268,Loom,Closed,Critical,Premium,2.0,30.5,30.5,0.0,False
282,CUST01475,Jira,Pending Customer Response,Low,Free,,17.5,17.0,-0.02857142857142858,False
283,CUST00820,Loom,Open,Low,Standard,,13.0,14.5,0.11538461538461542,False
284,CUST04332,Trello,Open,Critical,Standard,,15.5,17.0,0.09677419354838701,False
285,CUST05133,Jira,Pending Customer Response,Low,Standard,,12.5,12.5,0.0,False
286,CUST03649,Bitbucket,Pending Customer Response,Medium,Enterprise,,14.5,17.0,0.17241379310344818,False
287,CUST00402,Bitbucket,Pending Customer Response,Critical,Free,,6.5,9.5,0.46153846153846145,False
288,CUST04199,Loom,Open,Low,Free,,7.5,7.0,-0.06666666666666665,False
289,CUST04404,Jira,Open,High,Standard,,8.5,13.0,0.5294117647058822,False
290,CUST08268,Loom,Pending Customer Response,Critical,Free,,5.0,6.0,0.19999999999999996,False
291,CUST07585,Loom,Pending Customer Response,Low,Premium,,15.0,17.5,0.16666666666666674,False
292,CUST04577,Loom,Open,High,Standard,,26.0,26.0,0.0,False
293,CUST06406,Confluence,Closed,High,Premium,2.0,12.5,11.5,-0.07999999999999996,False
294,CUST07735,Loom,Open,Critical,Standard,,7.5,6.0,-0.19999999999999996,False
295,CUST07818,Confluence,Closed,Critical,Standard,3.0,35.5,40.0,0.12676056338028174,False
296,CUST04482,Loom,Open,Medium,Premium,,8.0,7.5,-0.0625,False
297,CUST07316,Jira,Closed,Medium,Standard,5.0,27.0,22.5,-0.16666666666666663,False
298,CUST08223,Jira,Closed,Critical,Standard,2.0,12.0,5.5,-0.5416666666666667,True
299,CUST02504,Jira,Open,Low,Free,,13.0,12.5,-0.038461538461538436,False
